state,year,within_score,surrounding_score
New York,2015,1.5,2.1228356247904663
New York,2016,1.5,2.1069424644197565
New York,2017,1.5,2.118594466353524
New York,2018,1.9999999999999998,2.1487000134854686
New York,2019,1.9999999999999998,2.1588072703424244
Ohio,2010,3.9722222222222223,3.5620542855502517
Ohio,2011,3.9722222222222223,3.578007056037544
Ohio,2012,5.888888888888888,4.137411629580538
Ohio,2013,5.888888888888888,4.0973138495798
Ohio,2014,5.888888888888888,4.226531012244088
Ohio,2015,5.888888888888888,4.265506356150858
Ohio,2016,5.888888888888888,4.369688715146571
Ohio,2017,5.888888888888888,4.479443800386694
Ohio,2018,6.555555555555555,4.6416603023318705
Ohio,2019,6.555555555555555,4.67913422826817
Oklahoma,2010,7.013888888888888,3.961929682386394
Oklahoma,2011,7.013888888888888,4.010889824594392
Oklahoma,2012,7.513888888888888,4.369281046616001
Oklahoma,2013,7.513888888888888,4.5040928922718875
Oklahoma,2014,7.513888888888888,4.96906624297154
Oklahoma,2015,8.180555555555555,5.026759086707131
Oklahoma,2016,8.347222222222221,5.049393311665132
Oklahoma,2017,8.347222222222221,5.07300108013208
Oklahoma,2018,8.347222222222221,5.802810777528901
Oklahoma,2019,8.347222222222221,5.809291318376733
Oregon,2010,0.05555555555555547,2.1438734769512
Oregon,2011,0.05555555555555547,2.1483294748882575
Oregon,2012,0.05555555555555547,2.2699102023804216
Oregon,2013,0.05555555555555547,2.183830889931656
Oregon,2014,0.05555555555555547,2.20125128218056
Oregon,2015,0.05555555555555547,2.2105861802402016
Oregon,2016,0.05555555555555547,2.2068636429626514
Oregon,2017,0.05555555555555547,2.201636512136036
Oregon,2018,0.05555555555555547,2.529782480077093
Oregon,2019,0.05555555555555547,2.53258337904393
Pennsylvania,2010,3.7777777777777777,2.2144063155742457
Pennsylvania,2011,3.7777777777777777,2.2435592851854995
Pennsylvania,2012,3.7777777777777777,2.4424199738919032
Pennsylvania,2013,3.7777777777777777,2.4253676292319755
Pennsylvania,2014,3.7777777777777777,2.453848266919839
Pennsylvania,2015,3.7777777777777777,2.4625772920800815
Pennsylvania,2016,3.7777777777777777,2.4855232489310395
Pennsylvania,2017,3.7777777777777777,2.508354482588831
Pennsylvania,2018,3.7777777777777777,2.7098348544787125
Pennsylvania,2019,3.7777777777777777,2.723351752166805
Rhode Island,2010,2.638888888888889,2.4696082275856415
Rhode Island,2011,2.638888888888889,2.4718318536288826
Rhode Island,2012,2.638888888888889,2.499722521867545
Rhode Island,2013,2.138888888888889,2.4962085435646166
Rhode Island,2014,2.138888888888889,2.5020756363931227
Rhode Island,2015,2.138888888888889,2.504861733253367
Rhode Island,2016,2.138888888888889,2.1625480023977723
Rhode Island,2017,2.138888888888889,2.1668108559507813
Rhode Island,2018,2.138888888888889,2.2249104285380903
Rhode Island,2019,2.638888888888889,2.2263612550313474
South Carolina,2010,5.069444444444445,3.788741341315552
South Carolina,2011,5.319444444444444,3.796043282606469
South Carolina,2012,4.819444444444444,4.394354170311913
South Carolina,2013,4.819444444444444,4.323038262750459
South Carolina,2014,4.819444444444444,4.362525745377712
South Carolina,2015,4.819444444444444,4.402226342127196
South Carolina,2016,4.819444444444444,4.5149216682660605
South Carolina,2017,6.152777777777778,4.643221088685233
South Carolina,2018,6.152777777777778,4.753081941122359
South Carolina,2019,6.152777777777778,4.762795159929764
South Dakota,2010,6.694444444444444,3.4780653097381022
South Dakota,2011,6.694444444444444,3.5521872191860617
South Dakota,2012,6.694444444444444,3.890622900028503
South Dakota,2013,6.694444444444444,3.9070180825268253
South Dakota,2014,6.861111111111111,4.009484658024519
South Dakota,2015,6.861111111111111,4.053455546696226
South Dakota,2016,6.861111111111111,3.9863657393305596
South Dakota,2017,6.361111111111111,4.00814218390942
South Dakota,2018,7.527777777777778,4.325179723042859
South Dakota,2019,7.527777777777778,4.329656523906901
Tennessee,2010,4.972222222222221,3.8043554086970364
Tennessee,2011,4.972222222222221,3.831665547335862
Tennessee,2012,4.972222222222221,4.195084359783484
Tennessee,2013,4.972222222222221,4.297472782905875
Tennessee,2014,4.972222222222221,4.3805618610639785
Tennessee,2015,4.972222222222221,4.478480881877881
Tennessee,2016,5.388888888888888,4.52174021821346
Tennessee,2017,5.388888888888888,4.750700325034835
Tennessee,2018,5.972222222222221,4.933234234643099
Tennessee,2019,5.972222222222221,4.943192854958623
Texas,2010,4.138888888888888,4.1112427716422
Texas,2011,4.138888888888888,4.145176051164399
Texas,2012,4.138888888888888,4.492204241856119
Texas,2013,4.138888888888888,4.592382681099315
Texas,2014,5.472222222222222,4.640444855468505
Texas,2015,5.472222222222222,4.806255334110106
Texas,2016,5.472222222222222,4.899050169919388
Texas,2017,5.472222222222222,4.933247060674272
Texas,2018,7.472222222222222,5.040950881177258
Texas,2019,7.472222222222222,5.043660840995676
Utah,2010,6.805555555555555,2.5473953560855636
Utah,2011,6.805555555555555,2.5592199279865926
Utah,2012,7.305555555555555,2.8417166209915496
Utah,2013,7.472222222222221,2.7504647698163303
Utah,2014,7.472222222222221,2.813490303726495
Utah,2015,7.472222222222221,2.8363805549557686
Utah,2016,7.472222222222221,2.769324640605433
Utah,2017,6.972222222222221,2.779591813004535
Utah,2018,6.472222222222221,2.971188179697287
Utah,2019,6.472222222222221,2.9770404867768576
Virginia,2010,5.347222222222222,2.823650019978602
Virginia,2011,5.347222222222222,2.858875046000859
Virginia,2012,5.347222222222222,3.1947850253554293
Virginia,2013,5.347222222222222,3.131138483386174
Virginia,2014,5.458333333333333,3.156118881632076
Virginia,2015,5.458333333333333,3.171969772039218
Virginia,2016,5.458333333333333,3.25423821574259
Virginia,2017,5.458333333333333,3.3067251616554914
Virginia,2018,5.458333333333333,3.431261337034733
Virginia,2019,5.458333333333333,3.4570138171488813
Vermont,2010,-0.5,2.2166426637432677
Vermont,2011,-0.5,2.222805413484338
